,id,churn
0,24011ae4ebbe3035111d65fa7c15bc57,Churned
1,d29c2c54acc38ff3c0614d0a653813dd,Stayed
2,764c75f661154dac3a6c254cd082ea7d,Stayed
3,bba03439a292a1e166f80264c16191cb,Stayed
4,149d57cf92fc41cf94415803a877cb4b,Stayed
5,1aa498825382410b098937d65c4ec26d,Churned
6,7ab4bf4878d8f7661dfc20e9b8e18011,Churned
7,01495c955be7ec5e7f3203406785aae0,Stayed
8,f53a254b1115634330c12c7fdbf7958a,Stayed
9,10c1b2f97a2d2a6f10299dc213d1a370,Stayed
10,d5e512dbc8118a830a7b8c7f61d89992,Stayed
11,6ee77a019251bcc304c88167e0dfcb4c,Stayed
12,2c05848e1a577dd041ea6804bbf5bbf5,Stayed
13,21860c2ff2d5df75503b230ce629c253,Stayed
14,c5037389dd8be351d3c40f2973da2391,Stayed
15,e4773b60d2e68aac94795782abfc006b,Stayed
16,bd14bbac3aca710ee5288fcd8511d4bb,Stayed
17,4e4a34a6d91ff25d0fdf68733907ad44,Stayed
18,f2b93783adecf0d0d8d60ab547bda3de,Stayed
19,47e976c5d7f1ee1fee6d60ca39fd0218,Stayed
20,db6ac41fb6972374f28bc6f8e43b9764,Stayed
21,bee0c7e972180fbee50c2ea15b12965c,Stayed
22,78014630fbac3e6aa980361d25cea748,Stayed
23,5789c446141a44a9b405db35682f6eb5,Stayed
24,ed5bc499fecb8eee257857fd286ebd65,Stayed
25,389bbbe70248fbeecdf9bb1bd0d1da04,Churned
26,31615bef53242dfedeaf275214044ca1,Stayed
27,74ff037708f036de5745ce34d8d9d4df,Stayed
28,7287dad2f1f535d03435ea7c78b557c4,Stayed
29,26c7bba7d51f86a16109de505bcd4f52,Stayed
30,44e826a55734d0ca5eeafcae0e991a75,Churned
31,4bffd9d74bfb770ef7763e8e4e88dfc3,Stayed
32,2d9d0546d83c60ed3d5728d744d65c40,Stayed
33,79d29481ee261caf08387bcef9e4346d,Stayed
34,044d071a5dbc2668cddad4f2b28c91d1,Stayed
35,af87b64523cf1f4f4a681e2cc44c8629,Stayed
36,9403f3f9ff06ec9e49db8255ede2b098,Stayed
37,51a7edcf29ed04830da6b3ee79f9e508,Stayed
38,d9260de11c54a215fa7363f603bbeaf6,Stayed
39,a853b52e3992aa2df0870fe42d843a65,Stayed
40,91607f6e0ed7143ab1a5b2abc20f1c00,Stayed
41,757ea31873662fe77d60e8c4f736a1ec,Stayed
42,d53f9011d82ed1f4850d0d312d04468b,Stayed
43,af47b8ea9a596c200ee39128a95738f9,Stayed
44,f8943edfeb1783f3793d3abc6305c1e3,Stayed
45,adfec8a906dfa5c6d836231e65825539,Stayed
46,34f2d4431b7db25cd660b098acf3d3a0,Stayed
47,cdcc2c363d5b34232082cee78776e59e,Stayed
48,b96aa3a8655203318c6b853dbdb0ceb7,Churned
49,54a77b7ec412ca7133750d2cb2a24096,Stayed
50,0f7487e3c557be9c77570e11ce572454,Stayed
51,17e84c1bc19211777dfbb1cca8af94fc,Stayed
52,b664719a6cbb1966d9987c3f6ec6d209,Stayed
53,d8e589d515b7c905bb73eece1d8781d8,Churned
54,a20ef5d293e20e3d9e9f60cf2be3ce63,Stayed
55,413f4bf21686876dd0d9a2bf0cc5ba1f,Stayed
56,3bd97d79feb083b315baa9545c76c84d,Churned
57,cb5171895e4a15e2c72cbbd7cf054cbf,Stayed
58,b50576e9fd15d9fa7e550be0f19fbf9e,Stayed
59,063acc614e176cf9edb486d267a90097,Stayed
60,cd2ac5886d344c93b3a2358e4604e1fe,Stayed
61,78b67084b27f0d33429985d7a1fd6258,Stayed
62,ac9b40690cdc78263fecc452bd92c227,Stayed
63,4d4a8d5a884e49e2a8f7994b21a3cb18,Stayed
64,d26bcf1a3e3f6252b9812903f402dcf1,Stayed
65,d44fcb35df8f88e9032ad52678d060a3,Stayed
66,327e887296aa77019b4954c6bb0a8cc3,Stayed
67,6f062ee9f3f8b2a404078abb4cd85510,Stayed
68,9cdfb70886ecb55f8a8620af8a99a722,Stayed
69,d8711ce9aef0a42cf24b1e65da32fe3f,Stayed
70,215fcb61cd9905b5e605b292666975d9,Churned
71,33e5a46305e282aef856ef00fee02e2c,Stayed
72,270835591aad4b5231d23fb7bdcd3bcf,Stayed
73,d766f436878bdf7c211ad1546e4357e9,Stayed
74,38ff1f75487719c54ba3d4a46f9ee244,Stayed
75,a29ad433a1585b364e5485ec55b6bbc3,Stayed
76,be272db990d3604a49a54887dfa904f4,Stayed
77,6187a71186583ed2457d182b00b632c5,Stayed
78,6ae7e4a3bdf96abb7783b342378ca5fc,Stayed
79,cfc1377e09c9866fae771bb4180f026a,Stayed
80,d4a84ff4ec620151ef05bdef0cf27eab,Stayed
81,1d4a665170914d996d3fb78069495516,Churned
82,e91f386614c13becdf81cc47fadfa2a2,Stayed
83,b5159f09fc3592f49048683fb75629da,Stayed
84,c0465e0147cc1faf14e8793a14c92cd2,Stayed
85,3c52cd186c318638296ed093e9cdf412,Churned
86,0acfc92892cc39bb48fb3398a8cda11f,Stayed
87,f1f24e9f048478c6d41fa05795b1d424,Churned
88,471f25ae25f8c42dbfae0bc1e76c1cd3,Stayed
89,e0b40169a9075474ca8bddab6d490484,Stayed
90,3133a89333b09b9eaf541818eabf5c93,Stayed
91,9d566b80c46439fb4fa5d9c8eaa51f7e,Stayed
92,c30e2e4d0abce6b4db1d0280778d04d4,Stayed
93,599a07e92a3980ae637d36cd6111045f,Stayed
94,ac9033ee1d6056f4ac827d79bedcc72d,Stayed
95,900937b8062eaec84aa1e5f16cdfe57d,Stayed
96,99158224050f70b152be49f14f86686b,Stayed
97,6a4526450ca4ee8a2cd6709b2a627c8d,Stayed
98,da81ccd181f3283287a174f4eca547de,Stayed
99,bd265cf7f018d2bea11e0cae69b493f1,Stayed
100,2c8177dd04a8d4760c8ae4630d5db435,Stayed
101,3beb7a9262b1e77bdd8520a546e7a579,Stayed
102,7e6b8140b261e49bd1f6bfa03266355d,Stayed
103,8a03a1cb07e0c84dc84f9832eae4d23f,Stayed
104,fdfe279dd0446c30e15ecfab16b9002b,Stayed
105,cf6526ff2524fb9a3663f8fca1bdf6c3,Stayed
106,882b924b96a0a422a5930cc87673051e,Stayed
107,0b0da18e644bac389ba02ab23e1487ed,Churned
108,88cb009b746ab1b9a55dc5efcd1cc733,Stayed
109,778ddcb8f3092f5b501e7ae19ce228f3,Stayed
110,0019baf3ed1242cd99b3cb592030446f,Churned
111,616018ccf121480488737b3823361d1a,Stayed
112,c84ec3bd5e20182784b1b971be72c299,Stayed
113,d263e956a4b3d8522299e10714087894,Stayed
114,2c75c74a7c0f2651b3ae5ec830c34b8f,Stayed
115,30056ab231d545b01bf64a4afee54001,Stayed
116,f1bc4ec5aa7efda1226655623274648a,Stayed
117,cfe53ea9433504883086fc113f19bf3d,Churned
118,2377643ffe1711ed3a6f107d6846aa22,Stayed
119,0d933e7fe322dea60b3a4e9dfbfee9d8,Stayed
120,bf3c67d9664f3459e6e04e607a507e64,Stayed
121,987a0a5e856d2185db60c718da435160,Stayed
122,085b7eec474bd25f8140577833f0a6ac,Stayed
123,4c14c36a57ab73b4b800fc995d3beb73,Stayed
124,373fb825c489645f221952db53e35a60,Stayed
125,c94671d9f76a07fe541480bc62edb60a,Stayed
126,8dcf72174797ae1837d423396bbb7e98,Stayed
127,b80d271d99d6f7196ef6b591cc99930c,Stayed
128,3c4ee938001975a4d07cf27a54de433c,Stayed
129,054a060473c4f11a08dcdb183f9be82d,Stayed
130,5e8b2c437090e22ffe168d19c3aa79eb,Stayed
131,6c13700b7435b2547163d04008bf3975,Stayed
132,f451b7678fe549050ed1df7e41a57f1d,Stayed
133,839492301e7c2d24c02c89315f307e39,Churned
134,408e0c75cd8f58197c06edb73428bb0d,Stayed
135,6179f9b2f03fe9aaceb4f82e67d0842a,Stayed
136,08c71e940a19496b078df652dcaa3e98,Stayed
137,1eb6d6268118c75576a55f49a66b8c57,Stayed
138,9c19c00c6d3dc0b8ad7a180c6ca03672,Stayed
139,cf8c5db0c02e3f92592daccba41c918c,Stayed
140,913bb512f7ca698b02149c9189c7c606,Stayed
141,6813b5d674d951ff92baf485658f5ce7,Stayed
142,1da8be069526d166b7cfd15284c68873,Stayed
143,c6e395b4ce0f5400b8de1bf1a4d4b571,Stayed
144,7d887f3330110231b51aad27f2ded024,Stayed
145,61b8d915f76bf6ab25dcf097e5384366,Stayed
146,71437410625520c4e4cc494f113275ee,Stayed
147,748d53b07e0be39a7080ebdc1bfb498e,Stayed
148,22c33086af3c686662c232fe9064cc75,Stayed
149,a53fec91b28d8d3cafcec7a054aca44b,Churned
150,d2aa0bfc7a18d37638e212071ac61fc9,Stayed
151,b74cbeff25c78e69e3df44cf2a1e7761,Stayed
152,5b1fbf1d729d0df8c8de04e166f3f77b,Stayed
153,75bc0c467e34717282cb63779718310e,Stayed
154,b0880107ce92c263c48670ba7efd6013,Stayed
155,498216090f098387ebb99e559509509b,Stayed
156,5c8296dbc2d2599de2594a09f483955d,Stayed
157,fe3179a939c0ac1dd48631bb13c73cd9,Stayed
158,01fbea88102b46f036ff17ebe4d23459,Stayed
159,21e8ec987c393d5d575da0644fa2ee75,Stayed
160,4f49021572f06e6410d351e4b2d9fc82,Stayed
161,0e9534a8931bd6e63f12a888d1c43476,Stayed
162,8dc018e7a387c73803e0c7da8fd99b00,Stayed
163,82af2c5e1d3891740a1a50a35adcae19,Stayed
164,2bb48f30e85010bb4c47fde40cfe4641,Churned
165,9741e25c0b0b84e64ef85f3d9c81fe6c,Stayed
166,2dc2ed2f6f850a665167d36502131713,Stayed
167,572f05986cd9ca8a68e7e68fca7c8e1d,Stayed
168,c0c0561e1ab1679ffec6004b6c450917,Stayed
169,693481c3844337eed094d7e3ade9eb99,Stayed
170,057c82be7460230517ec0a02ca73a70c,Stayed
171,fe683d8062ef99d594238099a21fb793,Churned
172,972bfa90c83db83f39b9ed2a7c53a29d,Stayed
173,4a1673610a8325ef50244001b6414299,Stayed
174,8286c591e71aa49555ee4ed9f1f432f6,Stayed
175,32c42511e417cad36f68f6872a21552f,Stayed
176,8d0f37cb25ebffbc65a87a250b15d403,Churned
177,fdc465370a656ef1f30e92b21aa4457a,Stayed
178,d993d216a46faf79fcb5b2e8e2cdda7a,Stayed
179,a8ad17e833878b0d4384e5e0489d7add,Stayed
180,05746b230847fca47f80d52c8ac83c4f,Stayed
181,b080187d8a482de6aef68c6ce2665498,Stayed
182,42a405678c4e29d1f066a9e5cbecba79,Stayed
183,9883653587b6dc04845754e60d89249c,Stayed
184,d88625ec4bf860f45b6c67315ef8014d,Stayed
185,7438550478546055e8024152a30a4388,Stayed
186,00420fc2b6ede48ec7e941c769a6a840,Stayed
187,eb55bc7b061e67e3615a78c1df6f2f97,Stayed
188,0d70ae3a5e62d6bb95b9ab06255036e3,Churned
189,e2ea6671299588892aa65d2900ff7540,Stayed
190,7012f8d14ab72658f52684575169ba59,Stayed
191,0b094473e4c7ae4fe6412795d6453559,Stayed
192,d20a7d6eaa8a7ed6df7d944860eb74b7,Stayed
193,22d2a2d9168ce246fc18b229276fdcc6,Stayed
194,a83fbaca10dcb8f200840fab73ed5abf,Stayed
195,0baa454df3a005fa7621b994b0092213,Stayed
196,2b64e5ab22b66acc1d3fbdf7dcd9b62a,Stayed
197,26aeb6520ab15fdbfd2aef614c3973a8,Stayed
198,9dec070a28044ffadbfa902cdaf9e4b1,Stayed
199,60951c2d180d7ce3f20531fc7d9b6fb1,Stayed
200,bb2eee48a4a8fff7e749051d8249fa91,Stayed
201,d1622a879792dd77f81c98d93faaa0c0,Stayed
202,0fded2bbbbb6edf817da2d90ec697a25,Stayed
203,950c25b09bf0cca5059e91f1dc598f17,Stayed
204,09d943f7a8c09abb51117801abd866a2,Stayed
205,9af0873bd6b5eb10ad0a2ff87ceabb80,Stayed
206,316827a45c61c630a3ce0dde268dd285,Stayed
207,23268094c87127f302ac96d5e1348144,Stayed
208,d38f0fe5e1e52a3f8ae021122e1350dd,Stayed
209,d37b4408c6b3cf2988f0fbcfe3b40b98,Stayed
210,ed557c49bafab49f63a3bdd51484ab73,Stayed
211,d03b894570bbe809ab2ce610d52e4256,Stayed
212,1b666e7f94db591d2a7eae83b230e034,Stayed
213,3933f49a5b9577745ee42f6adec28fea,Stayed
214,bf4632a748bec93d5da7ac54f60e586a,Stayed
215,726e52ea83ca2527b6ad999595806b3d,Stayed
216,47682679881ca2f0f97f9938d5dffa5c,Stayed
217,b1e773762052b38569b1e68aaa10576e,Churned
218,353c7a38a3fafd078eb86809031a7337,Stayed
219,df0edd6b1b907bbcdd5b285432aeb747,Stayed
220,8ac921bec295f67fdc47f3d85511d872,Stayed
221,bdca326c4be13f7e0136766670fe1327,Stayed
222,5336cc7721ec9705b2effa5e99627b98,Stayed
223,fa30ec2a9a741c9425bd78299f11a182,Stayed
224,0809ebd9b2ae59cdd28f9fe464468eae,Stayed
225,8411607f18658283372586d942684841,Stayed
226,c6316a07524a6b75ab769e6a88980eaf,Stayed
227,d639991644285b856d0a2c8b846a6858,Churned
228,75135870f77f06598df504548bfd363d,Stayed
229,56c94ad421f0b3ba7898412d082e9680,Stayed
230,9ca6298400dbc960a48a46aa6abd3db7,Churned
